Epsilon,Privacy,Accuracy,Precision,Recall,F1,Loss_pct
0.1,Strong,0.7485634018643851,0.7554380704232647,0.7485634018643851,0.741725652523147,10.969224875494831
0.5,Strong,0.8444643085174307,0.8459788585477261,0.8444643085174307,0.8432070433874401,1.3791342101902693
1.0,Medium,0.8522538628527646,0.8535340871781338,0.8522538628527646,0.8511859142340872,0.6001787766568789
2.0,Medium,0.8540416294215298,0.8554805624427085,0.8540416294215298,0.8529468912499278,0.42140211978035635
5.0,Weak,0.8571063721108415,0.8585280194113301,0.8571063721108415,0.8560580092103718,0.1149278508491891
10.0,Weak,0.8577448601711148,0.8591659429005262,0.8577448601711148,0.8567050444013511,0.05107904482185566
