Algorithm,N_Clusters,N_Noise,Silhouette,Davies_Bouldin,Calinski_Harabasz,ARI,NMI
KMeans,5,0,0.4412991989781642,0.9766728823610598,4044.5087215856393,-0.00036729243416975854,0.04102952829989868
DBSCAN,24,2553,0.1745307056582695,1.4797118460007566,2122.9547400505307,0.013579471286666082,0.04769555945841198
Agglomerative,5,0,0.3860080387002956,0.8547962696688266,3903.7394722264926,-0.002112581253127654,0.04045554890368459
