Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8537374425336285,0.8555840448730443,0.8537374425336285,0.8525180381247812,0.9204529693555492
SVM,0.898348373914524,0.8988310190346096,0.898348373914524,0.8979655371759542,0.9448636493784742
Random Forest,0.9347863102332709,0.9348504474224194,0.9347863102332709,0.9346871192936889,0.9792617855767645
XGBoost,0.9233781712923549,0.9236795395436784,0.9233781712923549,0.9231736203286317,0.9768045617583547
